kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, summer 2, Tuesday,5524,16.6
frame,lgw,Year 1, summer 2, Tuesday,5525,16.6
frame,lgw,Year 1, summer 2, Tuesday,5526,16.7
frame,lgw,Year 1, summer 2, Tuesday,5527,16.6
frame,lgw,Year 1, summer 2, Tuesday,5528,16.7
frame,lgw,Year 1, summer 2, Tuesday,5529,16.7
frame,lgw,Year 1, summer 2, Tuesday,5530,16.6
frame,lgw,Year 1, summer 2, Tuesday,5531,16.7
frame,lgw,Year 1, summer 2, Tuesday,5532,16.7
frame,lgw,Year 1, summer 2, Tuesday,5533,19.9
frame,lgw,Year 1, summer 2, Tuesday,5534,13.5
frame,lgw,Year 1, summer 2, Tuesday,5535,16.7
frame,lgw,Year 1, summer 2, Tuesday,5536,16.6
frame,lgw,Year 1, summer 2, Tuesday,5537,16.7
frame,lgw,Year 1, summer 2, Tuesday,5538,16.9
frame,lgw,Year 1, summer 2, Tuesday,5539,16.6
frame,lgw,Year 1, summer 2, Tuesday,5540,16.5
frame,lgw,Year 1, summer 2, Tuesday,5541,16.7
frame,lgw,Year 1, summer 2, Tuesday,5542,16.6
frame,lgw,Year 1, summer 2, Tuesday,5543,16.6
frame,lgw,Year 1, summer 2, Tuesday,5544,17.1
frame,lgw,Year 1, summer 2, Tuesday,5545,16.5
frame,lgw,Year 1, summer 2, Tuesday,5546,16.5
frame,lgw,Year 1, summer 2, Tuesday,5547,16.8
frame,lgw,Year 1, summer 2, Tuesday,5548,16.6
frame,lgw,Year 1, summer 2, Tuesday,5549,16.8
frame,lgw,Year 1, summer 2, Tuesday,5550,16.6
