kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 4, Thursday,5471,16.4
frame,lgw,Year 1, spring 4, Thursday,5472,16.6
frame,lgw,Year 1, spring 4, Thursday,5473,16.7
frame,lgw,Year 1, spring 4, Thursday,5474,16.7
frame,lgw,Year 1, spring 4, Thursday,5475,16.7
frame,lgw,Year 1, spring 4, Thursday,5476,25.5
frame,lgw,Year 1, spring 4, Thursday,5477,7.8
frame,lgw,Year 1, spring 4, Thursday,5478,16.7
frame,lgw,Year 1, spring 4, Thursday,5479,16.8
frame,lgw,Year 1, spring 4, Thursday,5480,16.6
frame,lgw,Year 1, spring 4, Thursday,5481,16.6
frame,lgw,Year 1, spring 4, Thursday,5482,16.7
frame,lgw,Year 1, spring 4, Thursday,5483,16.8
frame,lgw,Year 1, spring 4, Thursday,5484,16.6
frame,lgw,Year 1, spring 4, Thursday,5485,16.6
frame,lgw,Year 1, spring 4, Thursday,5486,16.6
frame,lgw,Year 1, spring 4, Thursday,5487,16.6
frame,lgw,Year 1, spring 4, Thursday,5488,16.7
frame,lgw,Year 1, spring 4, Thursday,5489,16.6
frame,lgw,Year 1, spring 4, Thursday,5490,16.6
frame,lgw,Year 1, spring 4, Thursday,5491,16.7
frame,lgw,Year 1, spring 4, Thursday,5492,16.7
frame,lgw,Year 1, spring 4, Thursday,5493,16.7
frame,lgw,Year 1, spring 4, Thursday,5494,16.6
frame,lgw,Year 1, spring 4, Thursday,5495,16.7
frame,lgw,Year 1, spring 4, Thursday,5496,16.8
frame,lgw,Year 1, spring 4, Thursday,5497,16.9
frame,lgw,Year 1, spring 4, Thursday,5498,16.6
frame,lgw,Year 1, spring 4, Thursday,5499,16.5
frame,lgw,Year 1, spring 4, Thursday,5500,16.6
frame,lgw,Year 1, spring 4, Thursday,5501,16.7
frame,lgw,Year 1, spring 4, Thursday,5502,16.7
frame,lgw,Year 1, spring 4, Thursday,5503,16.7
frame,lgw,Year 1, spring 4, Thursday,5504,16.7
frame,lgw,Year 1, spring 4, Thursday,5505,16.7
frame,lgw,Year 1, spring 4, Thursday,5506,16.6
frame,lgw,Year 1, spring 4, Thursday,5507,16.8
frame,lgw,Year 1, spring 4, Thursday,5508,16.5
frame,lgw,Year 1, spring 4, Thursday,5509,16.6
frame,lgw,Year 1, spring 4, Thursday,5510,16.7
frame,lgw,Year 1, spring 4, Thursday,5511,16.6
frame,lgw,Year 1, spring 4, Thursday,5512,16.8
frame,lgw,Year 1, spring 4, Thursday,5513,16.8
frame,lgw,Year 1, spring 4, Thursday,5514,16.5
frame,lgw,Year 1, spring 4, Thursday,5515,16.6
frame,lgw,Year 1, spring 4, Thursday,5516,16.6
frame,lgw,Year 1, spring 4, Thursday,5517,16.7
frame,lgw,Year 1, spring 4, Thursday,5518,16.6
frame,lgw,Year 1, spring 4, Thursday,5519,16.7
frame,lgw,Year 1, spring 4, Thursday,5520,16.6
frame,lgw,Year 1, spring 4, Thursday,5521,16.6
frame,lgw,Year 1, spring 4, Thursday,5522,16.7
frame,lgw,Year 1, spring 4, Thursday,5523,59.1
frame,lgw,Year 1, spring 4, Thursday,5524,16.9
frame,lgw,Year 1, spring 4, Thursday,5525,0.2
frame,lgw,Year 1, spring 4, Thursday,5526,0.1
frame,lgw,Year 1, spring 4, Thursday,5527,7.0
frame,lgw,Year 1, spring 4, Thursday,5528,16.7
frame,lgw,Year 1, spring 4, Thursday,5529,16.6
frame,lgw,Year 1, spring 4, Thursday,5530,16.7
frame,lgw,Year 1, spring 4, Thursday,5531,16.7
frame,lgw,Year 1, spring 4, Thursday,5532,16.7
frame,lgw,Year 1, spring 4, Thursday,5533,16.7
frame,lgw,Year 1, spring 4, Thursday,5534,16.7
frame,lgw,Year 1, spring 4, Thursday,5535,16.7
frame,lgw,Year 1, spring 4, Thursday,5536,16.7
frame,lgw,Year 1, spring 4, Thursday,5537,16.8
frame,lgw,Year 1, spring 4, Thursday,5538,16.6
frame,lgw,Year 1, spring 4, Thursday,5539,16.7
frame,lgw,Year 1, spring 4, Thursday,5540,16.8
frame,lgw,Year 1, spring 4, Thursday,5541,16.6
frame,lgw,Year 1, spring 4, Thursday,5542,16.7
frame,lgw,Year 1, spring 4, Thursday,5543,16.8
frame,lgw,Year 1, spring 4, Thursday,5544,16.7
frame,lgw,Year 1, spring 4, Thursday,5545,16.6
frame,lgw,Year 1, spring 4, Thursday,5546,16.6
