kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 5, Friday,4401,16.6
frame,lgw,Year 1, spring 5, Friday,4402,17.5
frame,lgw,Year 1, spring 5, Friday,4403,15.8
frame,lgw,Year 1, spring 5, Friday,4404,16.7
frame,lgw,Year 1, spring 5, Friday,4405,17.9
frame,lgw,Year 1, spring 5, Friday,4406,15.5
frame,lgw,Year 1, spring 5, Friday,4407,16.6
frame,lgw,Year 1, spring 5, Friday,4408,16.8
frame,lgw,Year 1, spring 5, Friday,4409,16.5
frame,lgw,Year 1, spring 5, Friday,4410,16.6
frame,lgw,Year 1, spring 5, Friday,4411,16.9
frame,lgw,Year 1, spring 5, Friday,4412,16.5
frame,lgw,Year 1, spring 5, Friday,4413,16.7
frame,lgw,Year 1, spring 5, Friday,4414,16.7
frame,lgw,Year 1, spring 5, Friday,4415,16.7
frame,lgw,Year 1, spring 5, Friday,4416,16.6
frame,lgw,Year 1, spring 5, Friday,4417,16.8
frame,lgw,Year 1, spring 5, Friday,4418,16.7
frame,lgw,Year 1, spring 5, Friday,4419,16.5
frame,lgw,Year 1, spring 5, Friday,4420,16.7
frame,lgw,Year 1, spring 5, Friday,4421,16.7
frame,lgw,Year 1, spring 5, Friday,4422,16.6
frame,lgw,Year 1, spring 5, Friday,4423,39.5
frame,lgw,Year 1, spring 5, Friday,4424,3.2
frame,lgw,Year 1, spring 5, Friday,4425,7.2
frame,lgw,Year 1, spring 5, Friday,4426,16.7
frame,lgw,Year 1, spring 5, Friday,4427,16.6
frame,lgw,Year 1, spring 5, Friday,4428,16.7
frame,lgw,Year 1, spring 5, Friday,4429,16.7
frame,lgw,Year 1, spring 5, Friday,4430,16.7
frame,lgw,Year 1, spring 5, Friday,4431,16.5
frame,lgw,Year 1, spring 5, Friday,4432,16.7
frame,lgw,Year 1, spring 5, Friday,4433,16.6
frame,lgw,Year 1, spring 5, Friday,4434,16.7
frame,lgw,Year 1, spring 5, Friday,4435,16.7
frame,lgw,Year 1, spring 5, Friday,4436,16.6
frame,lgw,Year 1, spring 5, Friday,4437,16.7
frame,lgw,Year 1, spring 5, Friday,4438,16.7
frame,lgw,Year 1, spring 5, Friday,4439,16.7
frame,lgw,Year 1, spring 5, Friday,4440,16.7
frame,lgw,Year 1, spring 5, Friday,4441,16.7
frame,lgw,Year 1, spring 5, Friday,4442,16.7
frame,lgw,Year 1, spring 5, Friday,4443,16.9
frame,lgw,Year 1, spring 5, Friday,4444,16.4
frame,lgw,Year 1, spring 5, Friday,4445,16.7
frame,lgw,Year 1, spring 5, Friday,4446,17.5
frame,lgw,Year 1, spring 5, Friday,4447,15.9
frame,lgw,Year 1, spring 5, Friday,4448,16.5
frame,lgw,Year 1, spring 5, Friday,4449,16.6
frame,lgw,Year 1, spring 5, Friday,4450,16.7
frame,lgw,Year 1, spring 5, Friday,4451,16.7
frame,lgw,Year 1, spring 5, Friday,4452,16.7
frame,lgw,Year 1, spring 5, Friday,4453,16.7
frame,lgw,Year 1, spring 5, Friday,4454,16.6
frame,lgw,Year 1, spring 5, Friday,4455,16.7
frame,lgw,Year 1, spring 5, Friday,4456,16.7
frame,lgw,Year 1, spring 5, Friday,4457,16.7
frame,lgw,Year 1, spring 5, Friday,4458,16.7
frame,lgw,Year 1, spring 5, Friday,4459,16.7
frame,lgw,Year 1, spring 5, Friday,4460,16.6
frame,lgw,Year 1, spring 5, Friday,4461,16.6
frame,lgw,Year 1, spring 5, Friday,4462,16.7
frame,lgw,Year 1, spring 5, Friday,4463,16.7
frame,lgw,Year 1, spring 5, Friday,4464,16.7
frame,lgw,Year 1, spring 5, Friday,4465,16.7
frame,lgw,Year 1, spring 5, Friday,4466,16.7
frame,lgw,Year 1, spring 5, Friday,4467,16.7
frame,lgw,Year 1, spring 5, Friday,4468,16.7
frame,lgw,Year 1, spring 5, Friday,4469,16.7
frame,lgw,Year 1, spring 5, Friday,4470,16.7
frame,lgw,Year 1, spring 5, Friday,4471,17.2
frame,lgw,Year 1, spring 5, Friday,4472,16.0
frame,lgw,Year 1, spring 5, Friday,4473,16.7
frame,lgw,Year 1, spring 5, Friday,4474,16.6
frame,lgw,Year 1, spring 5, Friday,4475,16.7
frame,lgw,Year 1, spring 5, Friday,4476,16.7
frame,lgw,Year 1, spring 5, Friday,4477,16.7
frame,lgw,Year 1, spring 5, Friday,4478,16.6
frame,lgw,Year 1, spring 5, Friday,4479,16.7
frame,lgw,Year 1, spring 5, Friday,4480,16.6
frame,lgw,Year 1, spring 5, Friday,4481,16.7
frame,lgw,Year 1, spring 5, Friday,4482,16.9
frame,lgw,Year 1, spring 5, Friday,4483,16.5
frame,lgw,Year 1, spring 5, Friday,4484,16.7
frame,lgw,Year 1, spring 5, Friday,4485,16.9
frame,lgw,Year 1, spring 5, Friday,4486,16.5
frame,lgw,Year 1, spring 5, Friday,4487,16.6
frame,lgw,Year 1, spring 5, Friday,4488,16.7
frame,lgw,Year 1, spring 5, Friday,4489,16.7
frame,lgw,Year 1, spring 5, Friday,4490,16.7
frame,lgw,Year 1, spring 5, Friday,4491,16.7
frame,lgw,Year 1, spring 5, Friday,4492,16.6
frame,lgw,Year 1, spring 5, Friday,4493,16.7
frame,lgw,Year 1, spring 5, Friday,4494,16.7
frame,lgw,Year 1, spring 5, Friday,4495,16.7
frame,lgw,Year 1, spring 5, Friday,4496,16.8
frame,lgw,Year 1, spring 5, Friday,4497,16.6
