kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 7, Sunday,4393,16.7
frame,lgw,Year 1, spring 7, Sunday,4394,16.6
frame,lgw,Year 1, spring 7, Sunday,4395,18.2
frame,lgw,Year 1, spring 7, Sunday,4396,15.3
frame,lgw,Year 1, spring 7, Sunday,4397,17.5
frame,lgw,Year 1, spring 7, Sunday,4398,15.8
frame,lgw,Year 1, spring 7, Sunday,4399,16.6
frame,lgw,Year 1, spring 7, Sunday,4400,16.7
frame,lgw,Year 1, spring 7, Sunday,4401,16.6
frame,lgw,Year 1, spring 7, Sunday,4402,16.7
frame,lgw,Year 1, spring 7, Sunday,4403,16.6
frame,lgw,Year 1, spring 7, Sunday,4404,16.7
frame,lgw,Year 1, spring 7, Sunday,4405,16.7
frame,lgw,Year 1, spring 7, Sunday,4406,16.6
frame,lgw,Year 1, spring 7, Sunday,4407,16.7
frame,lgw,Year 1, spring 7, Sunday,4408,16.7
frame,lgw,Year 1, spring 7, Sunday,4409,16.7
frame,lgw,Year 1, spring 7, Sunday,4410,16.7
frame,lgw,Year 1, spring 7, Sunday,4411,16.7
frame,lgw,Year 1, spring 7, Sunday,4412,16.6
frame,lgw,Year 1, spring 7, Sunday,4413,18.0
frame,lgw,Year 1, spring 7, Sunday,4414,15.4
frame,lgw,Year 1, spring 7, Sunday,4415,16.7
frame,lgw,Year 1, spring 7, Sunday,4416,16.6
frame,lgw,Year 1, spring 7, Sunday,4417,16.7
frame,lgw,Year 1, spring 7, Sunday,4418,17.3
frame,lgw,Year 1, spring 7, Sunday,4419,16.1
frame,lgw,Year 1, spring 7, Sunday,4420,16.6
frame,lgw,Year 1, spring 7, Sunday,4421,16.7
frame,lgw,Year 1, spring 7, Sunday,4422,16.7
frame,lgw,Year 1, spring 7, Sunday,4423,16.7
frame,lgw,Year 1, spring 7, Sunday,4424,17.1
frame,lgw,Year 1, spring 7, Sunday,4425,16.3
frame,lgw,Year 1, spring 7, Sunday,4426,16.6
frame,lgw,Year 1, spring 7, Sunday,4427,16.6
frame,lgw,Year 1, spring 7, Sunday,4428,16.7
frame,lgw,Year 1, spring 7, Sunday,4429,17.2
frame,lgw,Year 1, spring 7, Sunday,4430,16.1
frame,lgw,Year 1, spring 7, Sunday,4431,16.7
frame,lgw,Year 1, spring 7, Sunday,4432,16.7
