kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 18, Thursday,5492,0.1
frame,lgw,Year 1, spring 18, Thursday,5493,20.8
frame,lgw,Year 1, spring 18, Thursday,5494,21.1
frame,lgw,Year 1, spring 18, Thursday,5495,21.2
frame,lgw,Year 1, spring 18, Thursday,5496,20.8
frame,lgw,Year 1, spring 18, Thursday,5497,0.1
frame,lgw,Year 1, spring 18, Thursday,5498,21.1
frame,lgw,Year 1, spring 18, Thursday,5499,21.1
frame,lgw,Year 1, spring 18, Thursday,5500,21.8
frame,lgw,Year 1, spring 18, Thursday,5501,21.7
frame,lgw,Year 1, spring 18, Thursday,5502,0.1
frame,lgw,Year 1, spring 18, Thursday,5503,21.0
frame,lgw,Year 1, spring 18, Thursday,5504,21.2
frame,lgw,Year 1, spring 18, Thursday,5505,21.1
frame,lgw,Year 1, spring 18, Thursday,5506,0.1
frame,lgw,Year 1, spring 18, Thursday,5507,21.7
frame,lgw,Year 1, spring 18, Thursday,5508,21.0
frame,lgw,Year 1, spring 18, Thursday,5509,21.7
frame,lgw,Year 1, spring 18, Thursday,5510,21.1
frame,lgw,Year 1, spring 18, Thursday,5511,0.4
frame,lgw,Year 1, spring 18, Thursday,5512,21.8
frame,lgw,Year 1, spring 18, Thursday,5513,21.1
frame,lgw,Year 1, spring 18, Thursday,5514,21.6
frame,lgw,Year 1, spring 18, Thursday,5515,0.2
frame,lgw,Year 1, spring 18, Thursday,5516,21.5
frame,lgw,Year 1, spring 18, Thursday,5517,22.5
frame,lgw,Year 1, spring 18, Thursday,5518,21.0
frame,lgw,Year 1, spring 18, Thursday,5519,0.2
frame,lgw,Year 1, spring 18, Thursday,5520,21.1
frame,lgw,Year 1, spring 18, Thursday,5521,21.1
frame,lgw,Year 1, spring 18, Thursday,5522,20.8
frame,lgw,Year 1, spring 18, Thursday,5523,21.3
frame,lgw,Year 1, spring 18, Thursday,5524,0.1
frame,lgw,Year 1, spring 18, Thursday,5525,21.5
frame,lgw,Year 1, spring 18, Thursday,5526,21.0
frame,lgw,Year 1, spring 18, Thursday,5527,21.0
frame,lgw,Year 1, spring 18, Thursday,5528,21.1
frame,lgw,Year 1, spring 18, Thursday,5529,0.1
frame,lgw,Year 1, spring 18, Thursday,5530,22.4
frame,lgw,Year 1, spring 18, Thursday,5531,21.2
frame,lgw,Year 1, spring 18, Thursday,5532,21.4
frame,lgw,Year 1, spring 18, Thursday,5533,0.4
frame,lgw,Year 1, spring 18, Thursday,5534,22.5
frame,lgw,Year 1, spring 18, Thursday,5535,21.0
