kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 3, Wednesday,5444,16.5
frame,lgw,Year 1, spring 3, Wednesday,5445,16.7
frame,lgw,Year 1, spring 3, Wednesday,5446,16.6
frame,lgw,Year 1, spring 3, Wednesday,5447,18.2
frame,lgw,Year 1, spring 3, Wednesday,5448,15.4
frame,lgw,Year 1, spring 3, Wednesday,5449,16.5
frame,lgw,Year 1, spring 3, Wednesday,5450,17.6
frame,lgw,Year 1, spring 3, Wednesday,5451,15.7
frame,lgw,Year 1, spring 3, Wednesday,5452,16.7
frame,lgw,Year 1, spring 3, Wednesday,5453,16.6
frame,lgw,Year 1, spring 3, Wednesday,5454,17.6
frame,lgw,Year 1, spring 3, Wednesday,5455,15.7
frame,lgw,Year 1, spring 3, Wednesday,5456,16.7
frame,lgw,Year 1, spring 3, Wednesday,5457,16.6
frame,lgw,Year 1, spring 3, Wednesday,5458,17.6
frame,lgw,Year 1, spring 3, Wednesday,5459,15.7
frame,lgw,Year 1, spring 3, Wednesday,5460,16.7
frame,lgw,Year 1, spring 3, Wednesday,5461,18.1
frame,lgw,Year 1, spring 3, Wednesday,5462,15.3
frame,lgw,Year 1, spring 3, Wednesday,5463,16.8
frame,lgw,Year 1, spring 3, Wednesday,5464,16.9
frame,lgw,Year 1, spring 3, Wednesday,5465,16.4
frame,lgw,Year 1, spring 3, Wednesday,5466,16.7
frame,lgw,Year 1, spring 3, Wednesday,5467,16.7
frame,lgw,Year 1, spring 3, Wednesday,5468,16.6
frame,lgw,Year 1, spring 3, Wednesday,5469,16.6
frame,lgw,Year 1, spring 3, Wednesday,5470,16.7
frame,lgw,Year 1, spring 3, Wednesday,5471,16.7
frame,lgw,Year 1, spring 3, Wednesday,5472,16.7
frame,lgw,Year 1, spring 3, Wednesday,5473,16.8
frame,lgw,Year 1, spring 3, Wednesday,5474,16.8
frame,lgw,Year 1, spring 3, Wednesday,5475,16.4
frame,lgw,Year 1, spring 3, Wednesday,5476,16.7
frame,lgw,Year 1, spring 3, Wednesday,5477,16.7
frame,lgw,Year 1, spring 3, Wednesday,5478,16.6
frame,lgw,Year 1, spring 3, Wednesday,5479,18.1
frame,lgw,Year 1, spring 3, Wednesday,5480,15.3
frame,lgw,Year 1, spring 3, Wednesday,5481,16.8
frame,lgw,Year 1, spring 3, Wednesday,5482,16.7
frame,lgw,Year 1, spring 3, Wednesday,5483,16.8
frame,lgw,Year 1, spring 3, Wednesday,5484,16.3
frame,lgw,Year 1, spring 3, Wednesday,5485,16.7
frame,lgw,Year 1, spring 3, Wednesday,5486,16.8
frame,lgw,Year 1, spring 3, Wednesday,5487,16.6
frame,lgw,Year 1, spring 3, Wednesday,5488,17.2
frame,lgw,Year 1, spring 3, Wednesday,5489,16.1
frame,lgw,Year 1, spring 3, Wednesday,5490,16.7
frame,lgw,Year 1, spring 3, Wednesday,5491,16.6
frame,lgw,Year 1, spring 3, Wednesday,5492,16.6
frame,lgw,Year 1, spring 3, Wednesday,5493,16.7
frame,lgw,Year 1, spring 3, Wednesday,5494,16.7
frame,lgw,Year 1, spring 3, Wednesday,5495,16.6
frame,lgw,Year 1, spring 3, Wednesday,5496,16.7
frame,lgw,Year 1, spring 3, Wednesday,5497,16.7
frame,lgw,Year 1, spring 3, Wednesday,5498,16.6
frame,lgw,Year 1, spring 3, Wednesday,5499,16.7
frame,lgw,Year 1, spring 3, Wednesday,5500,16.7
frame,lgw,Year 1, spring 3, Wednesday,5501,16.7
frame,lgw,Year 1, spring 3, Wednesday,5502,16.8
frame,lgw,Year 1, spring 3, Wednesday,5503,17.6
frame,lgw,Year 1, spring 3, Wednesday,5504,15.5
frame,lgw,Year 1, spring 3, Wednesday,5505,17.0
frame,lgw,Year 1, spring 3, Wednesday,5506,16.3
frame,lgw,Year 1, spring 3, Wednesday,5507,16.7
frame,lgw,Year 1, spring 3, Wednesday,5508,16.6
frame,lgw,Year 1, spring 3, Wednesday,5509,18.3
frame,lgw,Year 1, spring 3, Wednesday,5510,15.1
frame,lgw,Year 1, spring 3, Wednesday,5511,16.7
frame,lgw,Year 1, spring 3, Wednesday,5512,16.7
frame,lgw,Year 1, spring 3, Wednesday,5513,16.8
frame,lgw,Year 1, spring 3, Wednesday,5514,16.6
frame,lgw,Year 1, spring 3, Wednesday,5515,16.7
frame,lgw,Year 1, spring 3, Wednesday,5516,16.6
frame,lgw,Year 1, spring 3, Wednesday,5517,16.6
frame,lgw,Year 1, spring 3, Wednesday,5518,16.7
frame,lgw,Year 1, spring 3, Wednesday,5519,16.7
frame,lgw,Year 1, spring 3, Wednesday,5520,16.7
frame,lgw,Year 1, spring 3, Wednesday,5521,17.1
frame,lgw,Year 1, spring 3, Wednesday,5522,16.3
frame,lgw,Year 1, spring 3, Wednesday,5523,16.6
frame,lgw,Year 1, spring 3, Wednesday,5524,16.7
frame,lgw,Year 1, spring 3, Wednesday,5525,16.7
frame,lgw,Year 1, spring 3, Wednesday,5526,16.6
frame,lgw,Year 1, spring 3, Wednesday,5527,17.3
frame,lgw,Year 1, spring 3, Wednesday,5528,16.1
frame,lgw,Year 1, spring 3, Wednesday,5529,16.7
frame,lgw,Year 1, spring 3, Wednesday,5530,16.6
frame,lgw,Year 1, spring 3, Wednesday,5531,16.7
frame,lgw,Year 1, spring 3, Wednesday,5532,16.6
frame,lgw,Year 1, spring 3, Wednesday,5533,16.6
frame,lgw,Year 1, spring 3, Wednesday,5534,16.7
frame,lgw,Year 1, spring 3, Wednesday,5535,16.7
frame,lgw,Year 1, spring 3, Wednesday,5536,16.9
frame,lgw,Year 1, spring 3, Wednesday,5537,16.4
frame,lgw,Year 1, spring 3, Wednesday,5538,16.6
frame,lgw,Year 1, spring 3, Wednesday,5539,18.9
frame,lgw,Year 1, spring 3, Wednesday,5540,14.4
frame,lgw,Year 1, spring 3, Wednesday,5541,16.7
frame,lgw,Year 1, spring 3, Wednesday,5542,16.9
frame,lgw,Year 1, spring 3, Wednesday,5543,16.4
frame,lgw,Year 1, spring 3, Wednesday,5544,16.7
frame,lgw,Year 1, spring 3, Wednesday,5545,16.6
frame,lgw,Year 1, spring 3, Wednesday,5546,16.7
frame,lgw,Year 1, spring 3, Wednesday,5547,16.7
frame,lgw,Year 1, spring 3, Wednesday,5548,16.9
frame,lgw,Year 1, spring 3, Wednesday,5549,16.6
frame,lgw,Year 1, spring 3, Wednesday,5550,16.6
